Codigo,Especie,Tipo,Descricao
3319,Comprometimento total ou parcial de segurança serviços ou estruturas,Desentupimento / Tamponamento,Desobstrução de canais entupidos e ações temporárias para evitar novas obstruções.
3320,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Desentupimento / Tamponamento,Exercício no âmbito de uma desobstrução de canais entupidos e ações temporárias para evitar novas obstruções.
3321,Comprometimento total ou parcial de segurança serviços ou estruturas,Dano ou Queda de redes de fornecimento elétrico,"Falha ou degradação de elementos técnicos (como cabos) necessários ao fornecimento de eletricidade, que exigem reparação ou remoção."
3322,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Dano ou Queda de redes de fornecimento elétrico,"Exercício no âmbito de uma falha ou degradação de elementos técnicos (como cabos) necessários ao fornecimento de eletricidade, que exigem reparação ou remoção."
3323,Comprometimento total ou parcial de segurança serviços ou estruturas,Dano em redes de abastecimento de água,"Falha ou degradação de elementos técnicos necessários ao fornecimento de água, que exigem fecho, reparação ou remoção."
3324,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Dano em redes de abastecimento de água,"Exercício no âmbito de uma falha ou degradação de elementos técnicos necessários ao fornecimento de água, que exigem fecho, reparação ou remoção."
3325,Comprometimento total ou parcial de segurança serviços ou estruturas,Dano em redes de abastecimento de gás,"Falha ou degradação de elementos técnicos necessários ao fornecimento de gás, que exigem fecho, reparação ou remoção."
3326,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Dano em redes de abastecimento de gás,"Exercício no âmbito de uma falha ou degradação de elementos técnicos necessários ao fornecimento de gás, que exigem fecho, reparação ou remoção."
3327,Comprometimento total ou parcial de segurança serviços ou estruturas,Dano em oleodutos e gasodutos,Falha ou degradação de elementos técnicos necessários ao transporte de hidrocarbonetos.
3328,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Dano em oleodutos e gasodutos,Exercício no âmbito de uma falha ou degradação de elementos técnicos necessários ao transporte de hidrocarbonetos.
3329,Comprometimento total ou parcial de segurança serviços ou estruturas,Queda de estruturas temporárias ou móveis,"Falha ou deterioração de estruturas como andaimes, estacaria, e outras, cuja queda danifica outros objetos ou pode criar perigo para pessoas e bens."
3330,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Queda de estruturas temporárias ou móveis,"Exercício no âmbito de uma falha ou deterioração de estruturas como andaimes, estacaria, e outras, cuja queda danifica outros objetos ou pode criar perigo para pessoas e bens."
3331,Comprometimento total ou parcial de segurança serviços ou estruturas,Colapso de galerias e cavidades artificiais,Intervenção de socorro em situação de colapso de galerias e cavidades artificiais como minas ou túneis.
3332,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Colapso de galerias e cavidades artificiais,Exercício no âmbito de uma intervenção de socorro em situação de colapso de galerias e cavidades artificiais como minas ou túneis.
3333,Comprometimento total ou parcial de segurança serviços ou estruturas,Rutura de Barragens,"Ações de proteção e socorro realizadas na sequência da rutura de barragens, com perigo para populações e bens por cheia rápida e inundação a jusante."
3334,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Rutura de Barragens,"Exercício no âmbito de ações de proteção e socorro realizadas na sequência da rutura de barragens, com perigo para populações e bens por cheia rápida e inundação a jusante."
3335,Comprometimento total ou parcial de segurança serviços ou estruturas,Sabotagem a estruturas críticas,Atos de sabotagem a infraestruturas e/ou serviços críticos para o normal funcionamento da sociedade.
3336,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Sabotagem a estruturas críticas,Exercício no âmbito de atos de sabotagem a infraestruturas e/ou serviços críticos para o normal funcionamento da sociedade.
3337,Comprometimento total ou parcial de segurança serviços ou estruturas,Queda de projétil comandado,"Queda em território nacional de projétil comandado, como um míssil."
3338,Comprometimento total ou parcial de segurança serviços ou estruturas,Exercício de Queda de projétil comandado,"Exercício no âmbito de uma queda em território nacional de projétil comandado, como um míssil."
4101,Assistência em Saúde,Intoxicação,"Exposição a um tóxico, em qualquer fase, havendo necessidade de atuação para mitigar os efeitos do tóxico sobre o indivíduo/a população afetada."
4102,Assistência em Saúde,Exercício de Intoxicação,"Exercício no âmbito de uma exposição a um tóxico, em qualquer fase, havendo necessidade de atuação para mitigar os efeitos do tóxico sobre o indivíduo/a população afetada."
4103,Assistência em Saúde,Doença súbita,"Situação pessoal, inesperada e repentina, que exige cuidado médico imediato, declarado por entidade competente (com número CODU)."
4104,Assistência em Saúde,Exercício de Doença súbita,"Exercício no âmbito de uma situação pessoal, inesperada e repentina, que exige cuidado médico imediato, declarado por entidade competente (com número CODU)."
4105,Assistência em Saúde,Trauma,"Ferimentos, internos ou externos, causados por movimento abrupto ou de grande impacte físico, que exige cuidados hospitalares."
4106,Assistência em Saúde,Exercício de Trauma,"Exercício no âmbito da prestação de cuidados a uma vítima com ferimentos, internos ou externos, causados por movimento abrupto ou de grande impacte físico, que exige cuidados hospitalares."
4107,Assistência em Saúde,Queimadura,"Lesão corporal que resulta do contacto direto ou exposição a agentes térmicos, químicos, radioativos ou elétricos."
4108,Assistência em Saúde,Exercício de Queimadura,"Exercício no âmbito da prestação de cuidados a uma vítima com uma lesão corporal que resulta do contacto direto ou exposição a agentes térmicos, químicos, radioativos ou elétricos."
4109,Assistência em Saúde,Trabalho de Parto,"Auxílio a parturiente, cujo destino é uma unidade hospitalar, podendo haver lugar ao auxílio ao nascimento se o parto se apresentar súbito ou em fase avançada."
4110,Assistência em Saúde,Exercício de Trabalho de Parto,"Exercício no âmbito do auxílio a parturiente, cujo destino é uma unidade hospitalar, podendo haver lugar ao auxílio ao nascimento se o parto se apresentar súbito ou em fase avançada."
4111,Assistência em Saúde,Pré-Afogamento,"Submersão em ambiente líquido, conduzindo a um estado de asfixia reversível, não resultando na morte do indivíduo."
4112,Assistência em Saúde,Exercício de Pré-Afogamento,"Exercício no âmbito da prestação de cuidados a uma vítima de submersão em ambiente líquido, conduzindo a um estado de asfixia reversível, não resultando na morte do indivíduo."
4113,Assistência em Saúde,Afogamento,"Submersão em ambiente líquido levando à asfixia, exigindo auxílio rápido para remoção da vítima."
4114,Assistência em Saúde,Exercício de Afogamento,"Exercício no âmbito da prestação de cuidados a uma vítima de submersão em ambiente líquido levando à asfixia, exigindo auxílio rápido para remoção da vítima."
4115,Assistência em Saúde,Evacuação e Transporte médico aéreo,"Transporte de doentes ou sinistrados em aeronave, com destino a unidade de cuidados de saúde (evacuação secundária, entre unidades de cuidados de saúde)."
4116,Assistência em Saúde,Exercício de Evacuação e Transporte médico aéreo,"Exercício no âmbito de um transporte de doentes ou sinistrados em aeronave, com destino a unidade de cuidados de saúde (evacuação secundária, entre unidades de cuidados de saúde)."
4117,Assistência em Saúde,Transporte de órgãos,Transporte de órgãos entre unidades hospitalares para efeitos de transplantação.
4118,Assistência em Saúde,Exercício de Transporte de órgãos,Exercício no âmbito de um transporte de órgãos entre unidades hospitalares para efeitos de transplantação.
4119,Assistência em Saúde,Transporte Regular de Doentes,"Transporte de pessoas doentes, fora do contexto da emergência médica declarada por entidade competente, incluindo o transporte regular para obtenção de cuidados continuados de saúde, e seu retorno."
4121,Assistência em Saúde,Transporte Extra SIEM,"Transporte de pessoas doentes, em contexto urgente, sem declaração por entidade competente do Sistema Integrado de Emergência Médica (sem número CODU)."
4123,Assistência em Saúde,Transporte de Doentes entre Unidades de Saúde,"Transporte de pessoas doentes entre unidade hospitalar de primeira prestação de cuidados médicos de emergência, e uma unidade de cuidados médicos de segunda linha."
4124,Assistência em Saúde,Exercício de Transporte de Doentes entre Unidades de Saúde,"Exercício no âmbito de um transporte de pessoas doentes entre unidade hospitalar de primeira prestação de cuidados médicos de emergência, e uma unidade de cuidados médicos de segunda linha."
4201,Intervenção em conflitos legais,Ameaça de explosão,Atuação na sequência de aviso de existência de engenho explosivo em edifícios ou locais públicos.
4202,Intervenção em conflitos legais,Exercício de Ameaça de explosão,Exercício no âmbito de uma atuação na sequência de aviso de existência de engenho explosivo em edifícios ou locais públicos.
4203,Intervenção em conflitos legais,Explosão,"Rebentamento efetivo de engenho explosivo ou explosão de outra substância, com ou sem aviso prévio, exigindo empenho de forças de proteção e socorro."
4204,Intervenção em conflitos legais,Exercício de Explosão,"Exercício no âmbito de um rebentamento efetivo de engenho explosivo ou explosão de outra substância, com ou sem aviso prévio, exigindo empenho de forças de proteção e socorro."
4205,Intervenção em conflitos legais,Agressão/Violação,"Qualquer ação que atente contra a integridade física ou psicológica, exigindo intervenção para proteção e socorro."
4206,Intervenção em conflitos legais,Exercício de Agressão/Violação,"Exercício no âmbito de uma qualquer ação que atente contra a integridade física ou psicológica, exigindo intervenção para proteção e socorro."
4207,Intervenção em conflitos legais,Suicídio/Homicídio na forma tentada,"Tentativa de terminar a vida, própria ou de terceiros."
4209,Intervenção em conflitos legais,Suicídio/Homicídio consumado,"Suicídio ou homicídio concretizados, exigindo a confirmação do óbito por autoridade competente."
4211,Intervenção em conflitos legais,Motim,Alteração da ordem pública.
4212,Intervenção em conflitos legais,Exercício de Motim,Exercício no âmbito de uma alteração da ordem pública.
4213,Intervenção em conflitos legais,Remoção e/ou Transporte de cadáver,"Remoção ou transporte de cadáver, da via pública, habitação ou outro local, após confirmação do óbito por autoridade competente."
4214,Intervenção em conflitos legais,Exercício de Remoção e/ou Transporte de cadáver,"Exercício no âmbito de uma remoção ou transporte de cadáver, da via pública, habitação ou outro local, após confirmação do óbito por autoridade competente."
4215,Intervenção em conflitos legais,Apoio às Forças de Segurança,Atuação na sequência de pedido expresso das forças de segurança com vista à prestação de apoio ao desempenho das suas missões.
4216,Intervenção em conflitos legais,Exercício de Apoio às Forças de Segurança,Exercício no âmbito de uma atuação na sequência de pedido expresso das forças de segurança com vista à prestação de apoio ao desempenho das suas missões.
4301,Assistência e Prevenção a atividades humanas,Patrulhamento Reconhecimento e Vigilância,"Empenho de forças de proteção e socorro em locais com elevada probabilidade de ocorrência de fenómenos danosos para as populações, património ou ambiente."
4302,Assistência e Prevenção a atividades humanas,Exercício de Patrulhamento Reconhecimento e Vigilância,"Exercício no âmbito do empenho de forças de proteção e socorro em locais com elevada probabilidade de ocorrência de fenómenos danosos para as populações, património ou ambiente."
4303,Assistência e Prevenção a atividades humanas,Prevenção a atividades de lazer,"Empenho de forças de proteção e socorro em locais de reunião de massas humanas em atividades de lazer, como espetáculos e atividades desportivas, para prestação de assistência rápida em caso de necessidade."
4304,Assistência e Prevenção a atividades humanas,Exercício de Prevenção a atividades de lazer,"Exercício no âmbito do empenho de forças de proteção e socorro em locais de reunião de massas humanas em atividades de lazer, como espetáculos e atividades desportivas, para prestação de assistência rápida em caso de necessidade."
4305,Assistência e Prevenção a atividades humanas,Limpeza de Via e Sinalização de Perigo,"Todo o tipo de limpeza de via, por quaisquer meios, removendo obstáculos e sinalização de perigos para a circulação."
4306,Assistência e Prevenção a atividades humanas,Exercício de Limpeza de Via e Sinalização de Perigo,"Exercício no âmbito de todo o tipo de limpeza de via, por quaisquer meios, removendo obstáculos e sinalização de perigos para a circulação."
4307,Assistência e Prevenção a atividades humanas,Assistência à população e Apoio Social,"Todo o tipo de situação que envolva forças de proteção e socorro para auxílio ou encaminhamento das populações para entidades competentes à prestação de resposta à situação em apreço, ou para apoio psicossocial."
4308,Assistência e Prevenção a atividades humanas,Exercício de Assistência à população e Apoio Social,"Exercício no âmbito de o tipo de situação que envolva forças de proteção e socorro para auxílio ou encaminhamento das populações para entidades competentes à prestação de resposta à situação em apreço, ou para apoio psicossocial."
4309,Assistência e Prevenção a atividades humanas,Apoio psicossocial a operacionais,"Prestação de apoio psicossocial a operacionais, no âmbito da ANPC."
4310,Assistência e Prevenção a atividades humanas,Exercício de Apoio psicossocial a operacionais,"Exercício no âmbito da prestação de apoio psicossocial a operacionais, no âmbito da ANPC."
4311,Assistência e Prevenção a atividades humanas,Abastecimento de Água à População,Fornecimento de água a uma população privada de abastecimento.
4312,Assistência e Prevenção a atividades humanas,Exercício de Abastecimento de Água à População,Exercício no âmbito do fornecimento de água a uma população privada de abastecimento.
4313,Assistência e Prevenção a atividades humanas,Abastecimento de Água a entidades públicas,"Fornecimento de água a entidades públicas privadas de abastecimento por períodos prolongados, ou por períodos curtos nos casos em que a água é essencial à segurança das populações servidas, como centros de diálise, hospitais e outros."
4314,Assistência e Prevenção a atividades humanas,Exercício de Abastecimento de Água a entidades públicas,"Exercício no âmbito do fornecimento de água a entidades públicas privadas de abastecimento por períodos prolongados, ou por períodos curtos nos casos em que a água é essencial à segurança das populações servidas, como centros de diálise, hospitais e outros."
4315,Assistência e Prevenção a atividades humanas,Abastecimento de Água a entidades privadas,"Fornecimento de água a uma entidade privada, em resultado de interrupção de abastecimento ou em reposição a quantitativos utilizados em ações de proteção e socorro."
4316,Assistência e Prevenção a atividades humanas,Exercício de Abastecimento de Água a entidades privadas,"Exercício no âmbito do fornecimento de água a uma entidade privada, em resultado de interrupção de abastecimento ou em reposição a quantitativos utilizados em ações de proteção e socorro."
4317,Assistência e Prevenção a atividades humanas,Abertura de porta com socorro,"Abertura de porta em missão de socorro, havendo perigo para a segurança de pessoas, bens e património."
4318,Assistência e Prevenção a atividades humanas,Exercício de Abertura de porta com socorro,"Exercício no âmbito da abertura de porta em missão de socorro, havendo perigo para a segurança de pessoas, bens e património."
4319,Assistência e Prevenção a atividades humanas,Abertura de porta sem socorro,Abertura de porta em situação da qual não resulta perigo imediato para pessoas bens e património.
4320,Assistência e Prevenção a atividades humanas,Exercício de Abertura de porta sem socorro,Exercício no âmbito da abertura de porta em situação da qual não resulta perigo imediato para pessoas bens e património.
4321,Assistência e Prevenção a atividades humanas,Abertura de Elevadores,"Libertação de pessoas presas no interior de elevadores, por avaria, falha de alimentação elétrica ou outra causa."
4322,Assistência e Prevenção a atividades humanas,Exercício de Abertura de Elevadores,"Exercício no âmbito da libertação de pessoas presas no interior de elevadores, por avaria, falha de alimentação elétrica ou outra causa."
4323,Assistência e Prevenção a atividades humanas,Reboque e Desempanagem,"Assistir ou rebocar veículo imobilizado, por falha mecânica ou evento exterior ao veículo."
4324,Assistência e Prevenção a atividades humanas,Exercício de Reboque e Desempanagem,Exercício no âmbito de assistir ou rebocar veículo imobilizado por falha mecânica ou evento exterior ao veículo.
4325,Assistência e Prevenção a atividades humanas,Evacuação,Ações desenvolvidas para retirada/movimentação de pessoas ou bens entre locais distintos para salvaguarda da sua segurança.
4326,Assistência e Prevenção a atividades humanas,Exercício de Evacuação,Exercício no âmbito de ações desenvolvidas para retirada/movimentação de pessoas ou bens entre locais distintos para salvaguarda da sua segurança.
4327,Assistência e Prevenção a atividades humanas,Busca e Resgate Terrestre de Pessoas,Processo de busca e resgate ou salvamento de pessoas em ambiente terrestre para localização e colocação em condições de segurança.
4328,Assistência e Prevenção a atividades humanas,Exercício de Busca e Resgate Terrestre de Pessoas,Exercício no âmbito do processo de busca e resgate ou salvamento de pessoas em ambiente terrestre para localização e colocação em condições de segurança.
4329,Assistência e Prevenção a atividades humanas,Busca e Resgate Aquático de Pessoas,Processo de busca e resgate ou salvamento de pessoas em ambiente aquático para localização e colocação em condições de segurança.
4330,Assistência e Prevenção a atividades humanas,Exercício de Busca e Resgate Aquático de Pessoas,Exercício no âmbito do processo de busca e resgate ou salvamento de pessoas em ambiente aquático para localização e colocação em condições de segurança.
4331,Assistência e Prevenção a atividades humanas,Busca e Resgate Terrestre de Animais,Processo de busca e resgate ou salvamento de animais em ambiente terrestre para localização e colocação em condições de segurança.
4332,Assistência e Prevenção a atividades humanas,Exercício de Busca e Resgate Terrestre de Animais,Exercício no âmbito do processo de busca e resgate ou salvamento de animais em ambiente terrestre para localização e colocação em condições de segurança.
4333,Assistência e Prevenção a atividades humanas,Busca e Resgate Aquático de Animais,Processo de busca e resgate ou salvamento de animais em ambiente aquático para localização e colocação em condições de segurança.
4334,Assistência e Prevenção a atividades humanas,Exercício de Busca e Resgate Aquático de Animais,Exercício no âmbito do processo de busca e resgate ou salvamento de animais em ambiente aquático para localização e colocação em condições de segurança.
4335,Assistência e Prevenção a atividades humanas,Prevenção a Queimadas,Empenhamento de meios para acompanhamento de queimadas procurando evitar a sua propagação descontrolada.
4336,Assistência e Prevenção a atividades humanas,Exercício de Prevenção a Queimadas,Exercício no âmbito do empenhamento de meios para acompanhamento de queimadas procurando evitar a sua propagação descontrolada.
4337,Assistência e Prevenção a atividades humanas,Acompanhamento de Transportes,"Empenhamento de meios para acompanhamento de transportes em coluna ou transportes especiais, não regulares."
4338,Assistência e Prevenção a atividades humanas,Exercício de Acompanhamento de Transportes,"Exercício no âmbito do empenhamento de meios para acompanhamento de transportes em coluna ou transportes especiais, não regulares."
4339,Assistência e Prevenção a atividades humanas,Corte ou Remoção de elementos em perigo de queda,"Empenhamento de meios para corte ou remoção de elementos cuja queda se apresente iminente, resultando em danos para pessoas e bens. Inclui o corte ou remoção de árvores, ou de outras estruturas artificiais temporárias ou permanentes, como postes, painéis ou andaimes, entre outros."
4340,Assistência e Prevenção a atividades humanas,Exercício de Corte ou Remoção de elementos em perigo de queda,"Exercício no âmbito do empenhamento de meios para corte ou remoção de elementos cuja queda se apresente iminente, resultando em danos para pessoas e bens. Inclui o corte ou remoção de árvores, ou de outras estruturas artificiais temporárias ou permanentes, como postes, painéis ou andaimes, entre outros."
9101,Operações,Pré-posicionamento de Meios,"Movimentação de meios para um local pré-definido, para prevenção e garantia de intervenção mais rápida."
9102,Operações,Exercício de Pré-posicionamento de Meios,"Exercício no âmbito da movimentação de meios para um local pré-definido, para prevenção e garantia de intervenção mais rápida."
9103,Operações,Pré-posicionamento de Meios DECIR,Movimentação de meios para um local pré-definido em apoio ao DECIR.
9104,Operações,Exercício de Pré-posicionamento de Meios DECIR,Exercício no âmbito da movimentação de meios para um local pré-definido em apoio ao DECIR.
9107,Operações,Deslocações em Formação,Movimentação de pessoal para formação.
9109,Operações,Deslocações Oficiais,Movimentação de pessoal em representação de uma entidade.
9110,Operações,Exercício de Deslocações Oficiais,Exercício no âmbito da movimentação de pessoal em representação de uma entidade.
9111,Operações,Deslocações em Serviço Geral,Movimentação de pessoal em serviços internos à entidade.
9113,Operações,Operações Nacionais de Socorro,"Missões de socorro coordenadas pelo nível nacional, em território nacional."
9114,Operações,Exercício de Operações Nacionais de Socorro,"Exercício no âmbito de missões de socorro coordenadas pelo nível nacional, em território nacional."
9115,Operações,Operações Nacionais de Assistência,"Missões de prevenção e assistência a grandes eventos, obedecendo a uma ordem de operações ou diretiva."
9116,Operações,Exercício de Operações Nacionais de Assistência,"Exercício no âmbito de missões de prevenção e assistência a grandes eventos, obedecendo a uma ordem de operações ou diretiva."
9117,Operações,Missões Internacionais em Socorro,Missões de socorro desenvolvidas fora do território Português.
9118,Operações,Exercício de Missões Internacionais em Socorro,Exercício no âmbito de missões de socorro desenvolvidas fora do território Português.
9119,Operações,Missões Internacionais de Assistência,"Missões de assistência a grandes eventos, desenvolvidas fora do território Português."
9120,Operações,Exercício de Missões Internacionais de Assistência,"Exercício no âmbito de missões de assistência a grandes eventos, desenvolvidas fora do território Português."
9121,Operações,Reconhecimento Aéreo,Missões de reconhecimento aéreo.
9122,Operações,Exercício de Reconhecimento Aéreo,Exercício no âmbito de missões de reconhecimento aéreo.
9123,Operações,Rendição de Meios,Movimentação de meios operacionais com vista à rendição de guarnições acionadas no decurso de uma ocorrência de proteção e socorro.
9124,Operações,Exercício de Rendição de Meios,Exercício no âmbito da movimentação de meios operacionais com vista à rendição de guarnições acionadas no decurso de uma ocorrência de proteção e socorro.
9125,Operações,Reposicionamento de Meios Aéreos,Movimentação de meios aéreos entre Centros de Meios Aéreos.
9910,Estados de Alerta do Sistema Integrado de Operações de Proteção e Socorro,Estado de Alerta Especial Nível Azul (Estado de Alerta – nível 1*),Ocorrência agregadora para situações de alerta especial de nível Azul.
9920,Estados de Alerta do Sistema Integrado de Operações de Proteção e Socorro,Estado de Alerta Especial Nível Amarelo (Estado de Alerta – nível 2*),Ocorrência agregadora para situações de alerta especial de nível Amarelo.
9930,Estados de Alerta do Sistema Integrado de Operações de Proteção e Socorro,Estado de Alerta Especial Nível Laranja (Estado de Alerta – nível 3*),Ocorrência agregadora para situações de alerta especial de nível Laranja.
9940,Estados de Alerta do Sistema Integrado de Operações de Proteção e Socorro,Estado de Alerta Especial Nível Vermelho (Estado de Alerta – nível 4*),Ocorrência agregadora para situações de alerta especial de nível Vermelho.
9999,Estados de Alerta do Sistema Integrado de Operações de Proteção e Socorro,Situação Crítica,"Ocorrência agregadora para situações de exceção já verificadas (não previstas nem esperadas) que ultrapassem os Estados de Alerta Especial previstos no SIOPS, por força de um único evento catastrófico ou conjugação de vários eventos, de carácter natural, tecnológico, misto, ou de origem social."
